01.11-3-01,Cultivo de arroz
43.29-1-01,Instalação de painéis publicitários
43.30-4-01,Impermeabilização em obras de engenharia civil
43.30-4-02,Instalação de portas  janelas  tetos  divisórias e armários embutidos de qualquer material
43.30-4-03,Obras de acabamento em gesso e estuque
43.30-4-04,Serviços de pintura de edifícios em geral
43.30-4-05,Aplicação de revestimentos e de resinas em interiores e exteriores
43.30-4-99,Outras obras de acabamento da construção
43.99-1-01,Administração de obras
43.99-1-02,Montagem e desmontagem de andaimes e outras estruturas temporárias
43.99-1-03,Obras de alvenaria
43.99-1-99,Serviços especializados para construção não especificados anteriormente
45.11-1-02,Comércio a varejo de automóveis  camionetas e utilitários usados
45.12-9-01,Representantes comerciais e agentes do comércio de veículos automotores
45.20-0-01,Serviços de manutenção e reparação mecânica de veículos automotores
45.20-0-05,Serviços de lavagem  lubrificação e polimento de veículos automotores
45.30-7-01,Comércio por atacado de peças e acessórios novos para veículos automotores
45.30-7-03,Comércio a varejo de peças e acessórios novos para veículos automotores
45.30-7-05,Comércio a varejo de pneumáticos e câmaras-de-ar
45.30-7-06,Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores
46.17-6-00,Representantes comerciais e agentes do comércio de produtos alimentícios  bebidas e fumo
46.18-4-99,Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente
46.19-2-00,Representantes comerciais e agentes do comércio de mercadorias em geral não especializado
46.23-1-06,Comércio atacadista de sementes  flores  plantas e gramas
46.23-1-09,Comércio atacadista de alimentos para animais
46.23-1-99,Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente
46.35-4-01,Comércio atacadista de água mineral
46.39-7-01,Comércio atacadista de produtos alimentícios em geral
46.47-8-01,Comércio atacadista de artigos de escritório e de papelaria
46.47-8-02,Comércio atacadista de livros  jornais e outras publicações
46.49-4-08,Comércio atacadista de produtos de higiene  limpeza e conservação domiciliar
46.51-6-01,Comércio atacadista de equipamentos de informática
46.52-4-00,Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação
46.61-3-00,Comércio atacadista de máquinas  aparelhos e equipamentos para uso agropecuário; partes e peças
46.69-9-99,Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças
46.71-1-00,Comércio atacadista de madeira e produtos derivados
46.72-9-00,Comércio atacadista de ferragens e ferramentas
46.74-5-00,Comércio atacadista de cimento
46.86-9-02,Comércio atacadista de embalagens
46.87-7-01,Comércio atacadista de resíduos de papel e papelão
46.87-7-03,Comércio atacadista de resíduos e sucatas metálicos
46.91-5-00,Comércio atacadista de mercadorias em geral  com predominância de produtos alimentícios
46.93-1-00,Comércio atacadista de mercadorias em geral  sem predominância de alimentos ou de insumos agropecuários
47.12-1-00,Comércio varejista de mercadorias em geral  com predominância de produtos alimentícios - minimercados  mercearias e armazéns
47.13-0-02,Lojas de variedades  exceto lojas de departamentos ou magazines
47.21-1-03,Comércio varejista de laticínios e frios
47.21-1-04,Comércio varejista de doces  balas  bombons e semelhantes
47.22-9-01,Comércio varejista de carnes - açougues
47.23-7-00,Comércio varejista de bebidas
47.24-5-00,Comércio varejista de hortifrutigranjeiros
47.29-6-01,Tabacaria
47.29-6-99,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente
47.41-5-00,Comércio varejista de tintas e materiais para pintura
47.42-3-00,Comércio varejista de material elétrico
47.44-0-01,Comércio varejista de ferragens e ferramentas
47.44-0-02,Comércio varejista de madeira e artefatos
47.44-0-03,Comércio varejista de materiais hidráulicos
47.44-0-05,Comércio varejista de materiais de construção não especificados anteriormente
47.44-0-06,Comércio varejista de pedras para revestimento
47.44-0-99,Comércio varejista de materiais de construção em geral
47.51-2-01,Comércio varejista especializado de equipamentos e suprimentos de informática
47.53-9-00,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
47.54-7-01,Comércio varejista de móveis
47.54-7-02,Comércio varejista de artigos de colchoaria
47.54-7-03,Comércio varejista de artigos de iluminação
47.55-5-03,Comercio varejista de artigos de cama  mesa e banho
47.56-3-00,Comércio varejista especializado de instrumentos musicais e acessórios
47.57-1-00,Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico  exceto informática e comunicação
47.59-8-01,Comércio varejista de artigos de tapeçaria  cortinas e persianas
47.59-8-99,Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente
47.61-0-01,Comércio varejista de livros
47.61-0-03,Comércio varejista de artigos de papelaria
47.63-6-01,Comércio varejista de brinquedos e artigos recreativos
47.63-6-04,Comércio varejista de artigos de caça  pesca e camping
47.71-7-01,Comércio varejista de produtos farmacêuticos  sem manipulação de fórmulas
47.72-5-00,Comércio varejista de cosméticos  produtos de perfumaria e de higiene pessoal
47.73-3-00,Comércio varejista de artigos médicos e ortopédicos
47.74-1-00,Comércio varejista de artigos de óptica
47.81-4-00,Comércio varejista de artigos do vestuário e acessórios
47.82-2-01,Comércio varejista de calçados
47.83-1-01,Comércio varejista de artigos de joalheria
47.83-1-02,Comércio varejista de artigos de relojoaria
47.84-9-00,Comércio varejista de gás liqüefeito de petróleo (GLP)
47.89-0-01,Comércio varejista de suvenires  bijuterias e artesanatos
47.89-0-02,Comércio varejista de plantas e flores naturais
47.89-0-04,Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação
47.89-0-06,Comércio varejista de fogos de artifício e artigos pirotécnicos
47.89-0-99,Comércio varejista de outros produtos não especificados anteriormente
49.21-3-02,Transporte rodoviário coletivo de passageiros  com itinerário fixo  intermunicipal em região metropolitana
49.23-0-02,Serviço de transporte de passageiros - locação de automóveis com motorista
49.30-2-01,Transporte rodoviário de carga  exceto produtos perigosos e mudanças  municipal.
49.30-2-02,Transporte rodoviário de carga  exceto produtos perigosos e mudanças  intermunicipal  interestadual e internacional
49.30-2-03,Transporte rodoviário de produtos perigosos
52.12-5-00,Carga e descarga
52.23-1-00,Estacionamento de veículos
52.50-8-01,Comissaria de despachos
52.50-8-04,Organização logística do transporte de carga
56.11-2-01,Restaurantes e similares
56.11-2-03,Lanchonetes  casas de chá  de sucos e similares
56.11-2-04,Bares e outros estabelecimentos especializados em servir bebidas  sem entretenimento
56.20-1-01,Fornecimento de alimentos preparados preponderantemente para empresas
56.20-1-02,Serviços de alimentação para eventos e recepções - bufê
56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar
58.11-5-00,Edição de livros
59.11-1-01,Estúdios cinematográficos
59.11-1-02,Produção de filmes para publicidade
59.11-1-99,Atividades de produção cinematográfica  de vídeos e de programas de televisão não especificadas anteriormente
59.20-1-00,Atividades de gravação de som e de edição de música
60.10-1-00,Atividades de rádio
62.01-5-01,Desenvolvimento de programas de computador sob encomenda
62.01-5-02,Web desing
62.02-3-00,Desenvolvimento e licenciamento de programas de computador customizáveis
62.03-1-00,Desenvolvimento e licenciamento de programas de computador não-customizáveis
62.09-1-00,Suporte técnico  manutenção e outros serviços em tecnologia da informação
63.11-9-00,Tratamento de dados  provedores de serviços de aplicação e serviços de hospedagem na internet
63.19-4-00,Portais  provedores de conteúdo e outros serviços de informação na internet
64.62-0-00,Holdings de instituições não-financeiras
66.19-3-02,Correspondentes de instituições financeiras
68.10-2-01,Compra e venda de imóveis próprios
68.10-2-02,Aluguel de imóveis próprios
68.10-2-03,Loteamento de imóveis próprios
68.21-8-01,Corretagem na compra e venda e avaliação de imóveis
68.21-8-02,Corretagem no aluguel de imóveis
68.22-6-00,Gestão e administração da propriedade imobiliária
69.11-7-01,Serviços advocatícios
69.12-5-00,Cartórios
69.20-6-01,Atividades de contabilidade
70.20-4-00,Atividades de consultoria em gestão empresarial
71.11-1-00,Serviços de arquitetura
71.12-0-00,Serviços de engenharia (Dispensada *)
71.19-7-03,Serviços de desenho técnico relacionados à arquitetura e engenharia
71.19-7-04,Serviços de perícia técnica relacionados à segurança do trabalho
71.20-1-00,Testes e análises técnicas
72.10-0-00,Pesquisa e desenvolvimento experimental em ciências físicas e naturais
73.11-4-00,Agências de publicidade
73.12-2-00,Agenciamento de espaços para publicidade  exceto em veículos de comunicação
73.19-0-01,Criação de estandes para feiras e exposições
73.19-0-02,Promoção de vendas
73.19-0-03,Marketing direto
73.19-0-99,Outras atividades de publicidade não especificadas anteriormente
74.10-2-99,Atividades de desing não especificadas anteriormente
74.20-0-01,Atividades de produção de fotografias  exceto aérea e submarina
74.90-1-01,Serviços de tradução  interpretação e similares
74.90-1-03,Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias
74.90-1-04,Atividades de intermediação e agenciamento de serviços e negócios em geral  exceto imobiliários
74.90-1-05,Agenciamento de profissionais para atividades esportivas  culturais e artísticas
74.90-1-99,Outras atividades profissionais  científicas e técnicas não especificadas anteriormente
77.11-0-00,Locação de automóveis sem condutor
77.23-3-00,Aluguel de objetos do vestuário  jóias e acessórios
77.31-4-00,Aluguel de máquinas e equipamentos agrícolas sem operador
77.32-2-01,Aluguel de máquinas e equipamentos para construção sem operador  exceto andaimes
77.39-0-02,Aluguel de equipamentos científicos  médicos e hospitalares  sem operador
77.39-0-03,Aluguel de palcos  coberturas e outras estruturas de uso temporário  exceto andaimes
77.39-0-99,Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente  sem operador
78.20-5-00,Locação de mão-de-obra temporária
79.12-1-00,Operadores turísticos
79.90-2-00,Serviços de reservas e outros serviços de turismo não especificados anteriormente
80.11-1-01,Atividades de vigilância e segurança privada
81.21-4-00,Limpeza em prédios e em domicílios
81.29-0-00,Atividades de limpeza não especificadas anteriormente
81.30-3-00,Atividades paisagísticas
82.11-3-00,Serviços combinados de escritório e apoio administrativo (Dispensada *)
82.19-9-01,Fotocópias
82.19-9-99,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente
82.20-2-00,Atividades de teleatendimento
82.30-0-01,Serviços de organização de feiras  congressos  exposições e festas
82.30-0-02,Casas de festas e eventos
82.99-7-01,Medição de consumo de energia elétrica  gás e água
82.99-7-06,Casas lotéricas
82.99-7-99,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente
85.50-3-02,Atividades de apoio à educação  exceto caixas escolares
85.91-1-00,Ensino de esportes
85.92-9-99,Ensino de arte e cultura não especificado anteriormente
85.93-7-00,Ensino de idiomas
85.99-6-04,Treinamento em desenvolvimento profissional e gerencial
85.99-6-05,Cursos preparatórios para concursos
85.99-6-99,Outras atividades de ensino não especificadas anteriormente
86.30-5-03,Atividade médica ambulatorial restrita a consultas
86.30-5-04,Atividade odontológica
86.30-5-06,Serviços de vacinação e imunização humana
86.30-5-99,Atividades de atenção ambulatorial não especificadas anteriormente
86.40-2-02,Laboratórios clínicos
86.40-2-05,Serviços de diagnóstico por imagem com uso de radiação ionizante  exceto tomografia
86.40-2-99,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente
86.50-0-03,Atividades de psicologia e psicanálise
86.50-0-04,Atividades de fisioterapia
86.50-0-06,Atividades de fonoaudiologia
86.60-7-00,Atividades de apoio à gestão de saúde
86.90-9-01,Atividades de práticas integrativas e complementares em saúde humana
90.01-9-02,Produção musical
90.01-9-03,Produção de espetáculos de dança
90.01-9-05,Produção de espetáculos de rodeios  vaquejadas e similares
90.01-9-06,Atividades de sonorização e de iluminação
90.01-9-99,Artes cênicas  espetáculos e atividades complementares não especificados anteriormente
90.03-5-00,Gestão de espaços para artes cênicas  espetáculos e outras atividades artísticas
91.01-5-00,Atividades de bibliotecas e arquivos
91.02-3-01,Atividades de museus e de exploração de lugares e prédios históricos e atrações similares
91.03-1-00,Atividades de jardins botânicos  zoológicos  parques nacionais  reservas ecológicas e áreas de proteção ambiental
93.13-1-00,Atividades de condicionamento físico
93.29-8-99,Outras atividades de recreação e lazer não especificadas anteriormente
94.12-0-99,Outras atividades associativas profissionais
94.30-8-00,Atividades de associações de defesa de direitos sociais
94.91-0-00,Atividades de organizações religiosas
94.93-6-00,Atividades de organizações associativas ligadas à cultura e à arte
94.99-5-00,Atividades associativas não especificadas anteriormente
95.21-5-00,Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico
95.29-1-05,Reparação de artigos do mobiliário
96.02-5-02,Atividades de estética e outros serviços de cuidados com a beleza
